date,time,open,high,low,close,volume
09/04/2013,14:24:23.830,1640.25,1651.0,1651.0,1651.0,56.0
09/04/2013,14:24:23.836,1640.25,1651.25,1651.25,1651.25,53.0
09/04/2013,14:24:23.836,1640.25,1651.25,1651.25,1651.25,69.0
09/04/2013,14:24:23.836,1640.25,1651.25,1651.25,1651.25,65.0
09/04/2013,14:24:23.836,1640.25,1651.25,1651.25,1651.25,60.0
09/04/2013,14:24:23.841,1640.25,1651.25,1651.25,1651.25,91.0
09/04/2013,14:24:23.841,1640.25,1651.25,1651.25,1651.25,54.0
09/04/2013,14:24:23.841,1640.25,1651.25,1651.25,1651.25,59.0
09/04/2013,14:24:23.846,1640.25,1651.25,1651.25,1651.25,52.0
09/04/2013,14:24:23.852,1640.25,1651.25,1651.0,1651.0,118.0
09/04/2013,14:24:23.900,1640.25,1651.25,1651.0,1651.25,50.0
09/04/2013,14:24:23.938,1640.25,1651.25,1651.25,1651.25,52.0
09/04/2013,14:24:24.003,1640.25,1651.25,1651.25,1651.25,62.0
09/04/2013,14:24:24.003,1640.25,1651.25,1651.25,1651.25,59.0
09/04/2013,14:24:24.274,1640.25,1651.25,1651.25,1651.25,131.0
09/04/2013,14:24:24.573,1640.25,1651.5,1651.25,1651.25,50.0
09/04/2013,14:24:24.653,1640.25,1651.5,1651.25,1651.25,53.0
09/04/2013,14:24:24.978,1640.25,1651.5,1651.25,1651.25,60.0
09/04/2013,14:24:24.978,1640.25,1651.25,1651.25,1651.25,67.0
09/04/2013,14:24:24.978,1640.25,1651.25,1651.25,1651.25,58.0
09/04/2013,14:24:24.978,1640.25,1651.25,1651.25,1651.25,52.0
09/04/2013,14:24:24.978,1640.25,1651.25,1651.25,1651.25,58.0
09/04/2013,14:24:24.978,1640.25,1651.25,1651.25,1651.25,76.0
09/04/2013,14:24:24.978,1640.25,1651.25,1651.25,1651.25,64.0
09/04/2013,14:24:24.978,1640.25,1651.25,1651.0,1651.0,65.0
09/04/2013,14:24:25.425,1640.25,1651.25,1651.0,1651.0,50.0
09/04/2013,14:24:25.874,1640.25,1651.25,1651.0,1651.0,55.0
09/04/2013,14:24:26.197,1640.25,1651.25,1651.0,1651.0,50.0
09/04/2013,14:24:26.498,1640.25,1651.25,1651.0,1651.0,51.0
09/04/2013,14:24:27.272,1640.25,1651.25,1651.0,1651.0,57.0
09/04/2013,14:24:27.328,1640.25,1651.0,1651.0,1651.0,70.0
09/04/2013,14:24:27.328,1640.25,1651.0,1651.0,1651.0,55.0
09/04/2013,14:24:27.328,1640.25,1651.0,1651.0,1651.0,197.0
09/04/2013,14:24:27.333,1640.25,1651.0,1650.75,1650.75,52.0
09/04/2013,14:24:27.503,1640.25,1651.0,1650.75,1650.75,60.0
09/04/2013,14:24:27.898,1640.25,1651.0,1650.75,1651.0,81.0
09/04/2013,14:24:28.067,1640.25,1651.0,1650.75,1651.0,51.0
09/04/2013,14:24:28.131,1640.25,1651.0,1651.0,1651.0,70.0
09/04/2013,14:24:28.136,1640.25,1651.0,1651.0,1651.0,51.0
09/04/2013,14:24:28.136,1640.25,1651.0,1651.0,1651.0,51.0
09/04/2013,14:24:28.136,1640.25,1651.0,1651.0,1651.0,50.0
09/04/2013,14:24:28.136,1640.25,1651.0,1651.0,1651.0,270.0
09/04/2013,14:24:28.355,1640.25,1651.0,1651.0,1651.0,53.0
09/04/2013,14:24:28.524,1640.25,1651.0,1651.0,1651.0,103.0
09/04/2013,14:24:28.524,1640.25,1651.0,1651.0,1651.0,63.0
09/04/2013,14:24:28.524,1640.25,1651.0,1651.0,1651.0,50.0
09/04/2013,14:24:28.601,1640.25,1651.0,1651.0,1651.0,50.0
09/04/2013,14:24:28.601,1640.25,1651.0,1651.0,1651.0,59.0
09/04/2013,14:24:28.606,1640.25,1651.0,1651.0,1651.0,50.0
